FilingStatus,Limit,Rate
Single,8500,0.04
Single,11700,0.045
Single,13900,0.0525
Single,80650,0.0585
Single,215400,0.0625
Single,1077550,0.0685
Single,5000000,0.0965
Single,25000000,0.103
Single,999999999,0.109
FilingStatus,Limit,Rate
Married,17150,0.04
Married,23600,0.045
Married,27900,0.0525
Married,161550,0.0585
Married,323200,0.0625
Married,2155350,0.0685
Married,5000000,0.0965
Married,25000000,0.103
Married,999999999,0.109
