FilingStatus,Limit,Rate
Single,8932,0.01
Single,21175,0.02
Single,33421,0.04
Single,46394,0.06
Single,58634,0.08
Single,299508,0.093
Single,359407,0.103
Single,599012,0.113
Single,999999999,0.123
Married,17864,0.01
Married,42350,0.02
Married,66842,0.04
Married,92788,0.06
Married,117268,0.08
Married,599016,0.093
Married,718814,0.103
Married,1198024,0.113
Married,999999999,0.123
